shift_value,final_train_loss,final_test_loss,final_train_acc,final_test_acc,best_test_loss,best_test_acc,aggregate_val_accuracy,mean_precision,mean_recall,mean_f1
0,0.00936910190731287,0.013812560138106346,93.14,88.81,0.01045449290573597,90.8,88.81,0.7991051001084326,0.7545512346777301,0.7756356006297505
1,0.01889004734158516,0.030193907231092453,82.66,73.44000000000001,0.027619002479314803,74.88,73.44000000000001,0.785397882736202,0.6859179275676576,0.7257627479527927
2,0.021020878878235817,0.054863529962301254,80.2975,58.089999999999996,0.03692615758776665,66.46,58.089999999999996,0.7772756605700153,0.5935016807199115,0.6518599351582273
3,0.02820741798877716,0.04430202827453613,73.5325,60.940000000000005,0.041674981826543805,65.25,60.940000000000005,0.7829763628598764,0.5983950138918332,0.6620999742367513
4,0.02834378680586815,0.10483853580951691,73.1225,21.58,0.04700089209675789,59.34,21.58,0.7381461307098987,0.5575554192921274,0.5956748382584381
5,0.029023317766189577,0.07747255371809006,72.455,35.93,0.049323485964536666,58.25,35.93,0.7402488612748037,0.5652622108395022,0.6086810833983991
