shift_value,final_train_loss,final_test_loss,final_train_acc,final_test_acc,aggregate_val_accuracy,mean_precision,mean_recall,mean_f1
0,0.013203620809316636,0.013168071840703488,86.4225,88.89,88.89,0.7932206873838269,0.7615396701919425,0.7768493439185262
1,0.0291424937620759,0.02731780494749546,71.765,75.86,75.86,0.7850986893611667,0.6967273550982697,0.7350244709613396
2,0.03903063724040985,0.03515147597193718,63.7825,69.53,69.53,0.7780147594197682,0.6617244456021949,0.708957595028713
3,0.04479277591109276,0.042507177966833114,59.755,64.1,64.1,0.7702030865802567,0.6301158557674218,0.6820850280704914
4,0.05308217470049858,0.05007754320502281,54.035,59.940000000000005,59.940000000000005,0.770063068137768,0.5957128067366251,0.6555888573704418
5,0.05628511363267898,0.05792963672876358,51.665000000000006,55.54,55.54,0.7574231266052494,0.573936840298739,0.6328459031358283
