class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,656,9017,96,231,0.8723404255317988,0.739571589627876,0.8004881025014765,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,3763,5924,25,288,0.9934002111932155,0.9289064428535935,0.9600714376833658,4051
naphthalene,140,9823,0,37,0.9999999999992858,0.7909604519769543,0.8832807570975132,177
amine,1269,8636,17,78,0.9867807153965018,0.9420935412026026,0.9639194834788848,1347
alcohol (aromatic),154,9808,1,37,0.9935483870961332,0.806282722512667,0.890173410404367,191
alcohol (aliphatic),498,9152,66,284,0.8829787234040987,0.6368286445011972,0.7399702823179242,782
ether (aromatic),1192,8654,24,130,0.9802631578946562,0.901664145234425,0.9393223010243916,1322
ether (aliphatic),2474,7082,102,342,0.9604037267080372,0.8785511363636052,0.9176557863501313,2816
alkyl halide (F),888,9104,0,8,0.9999999999998873,0.9910714285713179,0.9955156950672087,896
alkyl halide (Cl),721,9256,1,22,0.9986149584486151,0.970390309555724,0.9843003412968611,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),152,9809,5,34,0.9681528662414216,0.8172043010748296,0.886297376093036,186
ketone (aliphatic),464,9425,0,111,0.9999999999997845,0.80695652173899,0.8931665062559294,575
ester (aromatic),435,9432,0,133,0.9999999999997702,0.7658450704224004,0.8673978065801727,568
ester (aliphatic),3584,5853,294,269,0.9241877256317451,0.9301842719958232,0.9271763031949175,3853
carboxylic acid,284,9588,9,119,0.9692832764501812,0.7047146401983363,0.8160919540228712,403
amide,1412,8505,19,64,0.986722571628163,0.9566395663955991,0.9714482284141392,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,186,9808,0,6,0.9999999999994624,0.9687499999994955,0.9841269841267238,192
nitrile,330,9643,0,27,0.999999999999697,0.9243697478989008,0.960698689956192,357
epoxide,94,9803,2,101,0.9791666666656467,0.48205128205103487,0.6460481099654137,195
imide,359,9591,4,46,0.9889807162531711,0.8864197530862009,0.9348958333332116,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,141,9794,5,60,0.9657534246568729,0.7014925373130839,0.812680115273541,201
nitro (aromatic),207,9787,0,6,0.9999999999995169,0.9718309859150368,0.9857142857140511,213
sulfide,396,9585,0,19,0.9999999999997475,0.9542168674696496,0.9765721331688068,415
sulfone,421,9572,0,7,0.9999999999997625,0.9836448598128543,0.9917550058891647,428
sulfonate,180,9811,0,9,0.9999999999994446,0.9523809523804485,0.9756097560972966,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,540,9446,0,14,0.9999999999998147,0.9747292418770803,0.9872029250456136,554
bromobenzene,187,9806,0,7,0.9999999999994653,0.9639175257726991,0.9816272965876689,194
siloxane,301,9591,9,99,0.9709677419351707,0.7524999999998119,0.8478873239435425,400
phosphazene,167,9818,0,15,0.9999999999994013,0.9175824175819135,0.9570200573063161,182
phenoxy,167,9818,0,15,0.9999999999994013,0.9175824175819135,0.9570200573063161,182
pyridine,341,9636,6,17,0.9827089337172961,0.9525139664801809,0.9673758865246854,358
alkane,9780,190,3,27,0.9996933455994992,0.9972468644845417,0.998468606431848,9807
