epoch,train_loss,test_loss,train_acc,test_acc
0,0.032503872555494306,0.018368727503716945,75.41250000000001,84.11
1,0.021890194962918757,0.017726613381505014,80.05499999999999,84.49
2,0.020861479128152133,0.017655714392662048,80.605,84.58
3,0.02057767761349678,0.01701255135536194,80.8975,84.86
4,0.019700671064853667,0.016597605973482133,81.6975,85.24000000000001
5,0.019618154997378588,0.016210442233085633,81.49499999999999,85.55
6,0.019067231427133083,0.016017270757257937,81.955,85.79
7,0.01899661721289158,0.016541427499055864,82.32000000000001,85.27
8,0.01869930101260543,0.017258460788428784,82.3875,84.75
9,0.018404697041213513,0.016121182821691036,82.55749999999999,85.71
10,0.018563432960957287,0.01622528552263975,82.35749999999999,85.46000000000001
11,0.01810286654829979,0.016530442214012148,82.72500000000001,85.68
12,0.018064745339006184,0.015916752871870995,82.825,85.82
13,0.01805509948581457,0.01551072844415903,82.8775,86.36
14,0.01793818514496088,0.01538670850545168,82.8475,86.61
15,0.017659597554802894,0.01557214638143778,83.0875,86.03
16,0.017524132092297078,0.015307238778471947,83.1325,86.2
17,0.017456916833668946,0.015294489440321923,83.1575,86.38
18,0.017330654335021973,0.01532991387397051,83.2575,86.33
19,0.01738942246362567,0.01547952635139227,83.145,86.16
20,0.017217051854729652,0.015154736343026162,83.4425,86.61
21,0.017280829425156116,0.016079855993390083,83.2925,85.72999999999999
22,0.016810201252996922,0.015354139368236064,83.4875,86.61999999999999
23,0.017083740501850842,0.015690736113488674,83.435,86.24000000000001
24,0.017042074825614692,0.014847186496853829,83.4925,86.82
25,0.01676381472572684,0.015070396342873573,83.655,86.59
26,0.016733433417975903,0.015119057926535607,83.6875,86.33
27,0.016915569216012956,0.015053977370262145,83.69250000000001,86.58
28,0.016705613309144975,0.015133707267045975,83.89,86.76
29,0.016470956425368787,0.014957951183617115,83.91499999999999,86.75
30,0.016578670953959228,0.015097570069134236,83.895,86.65
31,0.01652297817245126,0.014882416732609273,83.77,86.7
32,0.016798568054288626,0.015529910488426685,83.6,86.64
33,0.016466906148195265,0.01503053189367056,83.8125,86.91
34,0.016470637553930283,0.015245308643579482,83.94749999999999,86.57000000000001
35,0.016424440693855284,0.014940767101943492,83.91499999999999,87.33
36,0.016395785517990587,0.015701987609267234,84.08,86.4
37,0.016585653162747623,0.016281519274413587,83.88,85.72
38,0.016299068779498337,0.015450838084518909,84.065,86.38
39,0.016419021886587143,0.014699500532448291,84.2025,86.88
40,0.01624746794104576,0.014996042938530445,84.3875,86.97
41,0.016241883482038973,0.014704695704579353,84.2075,87.28
42,0.01642088768184185,0.014597856359183788,83.9525,86.96000000000001
43,0.01636502295508981,0.015130107469856739,83.865,86.55000000000001
44,0.016082830812036993,0.01468170667141676,84.33,87.33
45,0.01602331887483597,0.014870575900375844,84.2775,86.89
46,0.016248968746513128,0.01454190456867218,84.195,87.22
47,0.016335383951663972,0.0148348154515028,84.1,86.28
48,0.016039431427419187,0.015093165348470211,84.3175,86.6
49,0.016185714790225028,0.014911877952516079,84.165,86.79
50,0.016347464051097632,0.014958629663288594,83.9275,86.74
51,0.015892839901149272,0.014719252176582813,84.315,87.24
52,0.0159761417247355,0.014666436503827571,84.39750000000001,86.95
53,0.01637932523265481,0.014741694514453412,84.14500000000001,86.83
54,0.016020710207521917,0.014409574908018112,84.355,87.19
55,0.0160358176253736,0.014712736766040325,84.35000000000001,87.21
56,0.016048840084671973,0.0149847949385643,84.11999999999999,86.64
57,0.015829707188904286,0.014878989233076572,84.3625,87.07000000000001
58,0.016032910919189455,0.014610820451378822,84.38250000000001,87.29
59,0.016018430507928134,0.014910873707383872,84.3425,87.06
60,0.016067446859180927,0.0148396351903677,84.1175,87.01
61,0.0157399984061718,0.01509263738244772,84.71499999999999,86.82
62,0.015799754375219344,0.015287624007463455,84.38,86.64
63,0.015845122358947993,0.0145676171541214,84.2525,86.83999999999999
64,0.015846489749103784,0.015000165858864784,84.465,86.64
65,0.015752130026370288,0.014336908207833766,84.5675,87.72999999999999
66,0.015567320988327265,0.014370196881890297,84.57249999999999,87.22999999999999
67,0.015500554426759482,0.014927407424151898,84.7225,86.79
68,0.015820857529342175,0.014919131100177764,84.3875,87.11
69,0.015721200896054506,0.01497623080611229,84.5,87.05000000000001
