epoch,train_loss,test_loss,train_acc,test_acc
0,0.09716010569930077,0.08056349691152573,37.707499999999996,44.78
1,0.08381605758666992,0.0721374423623085,40.515,48.02
2,0.0804362001657486,0.07042661551237106,41.192499999999995,48.54
3,0.0781918234050274,0.06736811312437058,42.0075,49.87
4,0.07685827370882034,0.06710965753793717,42.614999999999995,49.3
5,0.07574084720015525,0.06764782803058625,43.0,49.51
6,0.07459113671779632,0.06749420170783997,43.317499999999995,50.1
7,0.07434162588715554,0.06526570310592651,43.512499999999996,50.449999999999996
8,0.07331655641794205,0.06730651426315308,43.877500000000005,49.24
9,0.07280139979720116,0.06961919306516648,44.195,48.28
10,0.07246341888308525,0.06312579063177108,44.34,51.2
11,0.0715634496808052,0.06214055656194687,44.655,51.27
12,0.07134451863765716,0.06359659897089004,44.8675,51.53
13,0.07091331513524056,0.07029024175405503,44.855000000000004,45.35
14,0.07056887297034263,0.06246612895727158,45.042500000000004,51.99
15,0.0700874933719635,0.06328541769981384,45.184999999999995,51.74999999999999
16,0.06992943325042725,0.06388602203130722,45.3125,51.15
17,0.06955106502771377,0.06392818071842193,45.3075,51.05
18,0.06933740761280059,0.06231304941177368,45.235,52.07000000000001
19,0.0689250246822834,0.06351216049194336,45.65,51.74999999999999
20,0.06886513496637345,0.06502052891254426,45.6625,50.849999999999994
21,0.06831405597925186,0.06707171996831894,45.9775,47.39
22,0.06806916572451592,0.06322118803262711,45.942499999999995,52.05
23,0.06833705028891564,0.06344823541641235,46.1525,51.44
24,0.06763851687908172,0.06216374011039734,46.08,52.31
25,0.06763901578783989,0.062138931167125704,46.315,52.18000000000001
26,0.06759505836367607,0.06258077616691589,46.305,51.459999999999994
27,0.06739069399237632,0.06590080391168594,46.6875,50.46000000000001
28,0.06668359202742577,0.06422431290149688,46.715,51.790000000000006
29,0.06698218710422515,0.062143890738487244,46.675,52.900000000000006
30,0.06676109507083892,0.06226774812936783,46.515,52.27
31,0.06650325339436532,0.06519412533044815,46.995,50.1
32,0.06640021066069603,0.06012749240398407,46.705000000000005,52.94
33,0.06590048964619637,0.06017036051750183,47.055,52.89
34,0.06608353980779648,0.06346294238567353,46.75,51.83
35,0.0654580445945263,0.061809922039508816,47.21,52.44
36,0.06579631543159485,0.06303594920635223,46.894999999999996,51.99
37,0.06578046010732651,0.06646552718877792,47.065,46.650000000000006
38,0.06544876855015755,0.06189372906684876,47.0625,52.839999999999996
39,0.06524849146604537,0.060367325866222385,47.4875,53.300000000000004
40,0.06506971226930618,0.06057555483579636,47.5125,53.15
41,0.064973444378376,0.06020724594593048,47.5325,53.32
42,0.06485411555171013,0.06193438225984573,47.69,53.12
43,0.06502786785364151,0.06236738095283508,47.599999999999994,52.190000000000005
44,0.0646261426448822,0.06381099216938019,47.5875,51.39
45,0.06459412474632263,0.061809262812137604,47.6875,52.51
46,0.06468801724910736,0.06136540106534958,47.57,53.18000000000001
47,0.0645609836101532,0.06988568917512894,47.795,41.79
48,0.06444935923218727,0.05903779819011688,47.652499999999996,53.900000000000006
49,0.06400465276241303,0.05898412333726883,47.77,54.190000000000005
50,0.06398365892767906,0.05951264398097992,47.862500000000004,53.620000000000005
51,0.06382349008321762,0.06324048631191254,47.902499999999996,50.78
52,0.06369925248622894,0.05937771087884903,48.0225,53.94
53,0.06356296948194504,0.059860837864875796,48.2825,53.5
54,0.0635336903333664,0.059138062310218814,48.010000000000005,53.97
55,0.06359654253721238,0.057885449695587156,47.9675,54.64
56,0.06330009088516235,0.060709802496433256,48.3475,53.04
57,0.06310353304743767,0.05951528359651566,48.305,53.949999999999996
58,0.06304508386254311,0.06318213447332383,48.435,50.61
59,0.06304933167695999,0.06071613464355469,48.36,53.480000000000004
60,0.06308039898872375,0.06436781334877015,48.2975,48.89
61,0.06283595508337021,0.06914041749238968,48.3725,43.37
62,0.0628726026892662,0.06187743282318115,48.5025,51.970000000000006
63,0.06291887238025665,0.059524813449382784,48.167500000000004,53.98
64,0.06295686883330345,0.05855242147445679,48.63,54.82
65,0.06276004449129105,0.05955808281898498,48.4075,53.76
66,0.06252289525270462,0.05843667130470276,48.572500000000005,54.44
67,0.06284546855092049,0.06053370472192764,48.267500000000005,53.47
68,0.06234625028371811,0.05961477192640305,48.675000000000004,54.22
69,0.06248660596609116,0.06043325780630112,48.5075,53.31
70,0.06243995787501335,0.0621425797700882,48.595,52.12
71,0.061989001607894896,0.059766647720336914,48.8575,54.54
72,0.06193562571406364,0.05771426894664764,49.1375,54.779999999999994
73,0.06193359661102295,0.059900927901268004,48.85,54.22
74,0.06189977919459343,0.05870391025543213,48.9475,54.53
75,0.06176885016560554,0.06171000183820725,48.995,52.93
76,0.06210946272611618,0.05938527785539627,48.894999999999996,54.559999999999995
77,0.06127934572696686,0.058518857049942016,49.09,54.05
78,0.06176178388595581,0.05860025305747986,48.8475,54.35
79,0.06157006494998932,0.05820413697957993,48.8975,54.67999999999999
80,0.06172891132235527,0.060447905576229095,48.894999999999996,54.25
81,0.06131858909726143,0.059017528223991395,48.864999999999995,54.620000000000005
82,0.061636105144023894,0.05811294811964035,49.175000000000004,54.86
83,0.06133222415447235,0.05877674714326858,49.2475,54.84
84,0.06112246648073196,0.05842517801523209,49.222500000000004,54.74
85,0.061174878978729245,0.05950590859651565,49.2875,53.900000000000006
86,0.06110984417200088,0.05771602874994278,49.01,54.82
87,0.06142459482550621,0.0611451392531395,49.0325,52.75
88,0.06100113409757614,0.0592173220038414,49.370000000000005,54.09
89,0.060985259991884234,0.0586086962223053,49.1325,54.35
90,0.060923939043283463,0.05923241176605225,49.1375,54.21
91,0.06081454588770866,0.05908308831453323,49.207499999999996,55.120000000000005
92,0.06090935955047608,0.05968073592185974,49.4925,52.94
93,0.06071019936800003,0.05820079128742218,49.6025,55.22
94,0.06087709080576897,0.057923256635665894,49.405,55.04
95,0.060506351655721664,0.061694057500362394,49.3125,51.55
96,0.06060202277302742,0.06105364059209824,49.377500000000005,53.839999999999996
97,0.060734150218963626,0.05742365272045136,49.6125,55.14
98,0.060455770760774616,0.06152815690040588,49.2675,53.059999999999995
99,0.06069896712899208,0.057654042720794677,49.7675,55.14
100,0.06036344365477562,0.06326506850719452,49.5075,49.28
101,0.06030698562860489,0.059904789674282075,49.542500000000004,53.97
102,0.06039728856682777,0.05766958000659943,49.7025,54.97
103,0.060441242688894274,0.06013141062259674,49.542500000000004,53.879999999999995
104,0.060137092185020447,0.060557159388065336,49.7525,53.31
105,0.06009498372673988,0.0621979030251503,49.78,51.61
106,0.06025860685110092,0.061698147249221805,49.595,51.019999999999996
107,0.06031317434310913,0.05888836271762848,49.65,54.94
108,0.060177848744392394,0.05773158520460129,49.8575,55.13
109,0.05979022543430328,0.057967745757102965,49.695,55.17999999999999
110,0.05980768648386001,0.06272189003229141,50.1225,53.12
111,0.05962544214129448,0.057668376684188845,49.89,55.059999999999995
112,0.05995325877070427,0.05959795080423355,50.1825,53.949999999999996
113,0.06003061268925667,0.0594289913892746,50.125,54.67999999999999
114,0.06001845186948776,0.05832234531641006,49.8375,54.339999999999996
115,0.05966437641084194,0.0569372814655304,49.89,55.42
116,0.059622554057836535,0.05944066767692566,50.002500000000005,54.779999999999994
117,0.059558045077323915,0.05887625070810318,49.8625,54.63
118,0.06010125139951706,0.05774946230649948,49.9225,55.25
119,0.059522454422712326,0.05746944346427917,50.1625,54.98
120,0.059382114386558535,0.056563043987751006,50.38,55.63
121,0.05933620462417603,0.0572967941403389,50.2075,55.36
122,0.05931142391562462,0.05861554058790207,50.3175,55.24
123,0.05938774655461311,0.06035720825195313,50.127500000000005,54.39000000000001
124,0.059157499527931215,0.05717214207649231,50.22,54.96
125,0.059215041565895084,0.05641093806028366,50.06,55.33
126,0.05937802520990372,0.05899655430316925,50.2,54.39000000000001
127,0.059244434362649916,0.0583577147603035,50.3675,54.7
128,0.05926598300337792,0.05647177122831345,50.245,55.44
129,0.058902853089571,0.058566093242168424,50.33,55.059999999999995
130,0.05888129649162292,0.06311213248968124,50.455000000000005,52.87
131,0.058941194760799405,0.05904193400144577,50.59,54.63
132,0.05917663540244102,0.05651449611186981,50.42250000000001,55.730000000000004
133,0.05885550433397293,0.06428703379631043,50.455000000000005,47.13
134,0.05903256824016571,0.0585235564827919,50.644999999999996,55.21
135,0.059115712708234784,0.06014548133611679,50.417500000000004,52.96999999999999
136,0.059067499148845674,0.057165338170528414,50.5375,55.53
137,0.058927287793159484,0.06210316374301911,49.985,51.11
138,0.059074720847606656,0.05993402447700501,50.31250000000001,53.42
139,0.05880229457616806,0.058241567075252534,50.355000000000004,55.22
140,0.058769686192274094,0.06389988635778428,50.434999999999995,51.449999999999996
141,0.05878681609034538,0.05810108045339584,50.480000000000004,54.85
142,0.058584483098983765,0.058460066318511965,50.735,54.55
143,0.05884679860472679,0.0599885937333107,50.3575,54.13
144,0.05864438495635986,0.057914842915534975,50.5025,55.82
145,0.05849319686889649,0.05885812009572983,50.677499999999995,54.82
146,0.05867738808989525,0.05914291026592255,50.5875,54.52
147,0.058188125985860824,0.05941748822927475,50.629999999999995,55.11000000000001
148,0.05854264065027237,0.05573736110925674,50.372499999999995,56.120000000000005
149,0.05875971419811249,0.06009943116903305,50.582499999999996,53.12
150,0.058584614378213884,0.05778363451957703,50.6675,55.52
151,0.05862620943188667,0.057192730224132536,50.339999999999996,55.95
152,0.058136489129066465,0.05865197125673294,50.615,53.64
