class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,372,9052,61,515,0.8591224018473766,0.4193912063133687,0.563636363636321,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,3625,5536,413,426,0.8977216443783829,0.8948407800542855,0.8962788972678836,4051
naphthalene,37,9823,0,140,0.9999999999972973,0.2090395480224808,0.34579439252320293,177
amine,1166,8499,154,181,0.8833333333332664,0.8656273199702401,0.8743907011623219,1347
alcohol (aromatic),114,9806,3,77,0.9743589743581416,0.596858638743143,0.7402597402594999,191
alcohol (aliphatic),325,9142,76,457,0.8104738154611445,0.4156010230178496,0.549450549450503,782
ether (aromatic),984,8563,115,338,0.8953594176523297,0.744326777609626,0.8128872366790246,1322
ether (aliphatic),2288,6870,314,528,0.8793235972328639,0.8124999999999711,0.8445921004060383,2816
alkyl halide (F),877,9104,0,19,0.9999999999998859,0.9787946428570335,0.9892836999435426,896
alkyl halide (Cl),650,9251,6,93,0.9908536585364343,0.8748317631223587,0.9292351679770601,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),102,9811,3,84,0.9714285714276463,0.5483870967738987,0.7010309278348107,186
ketone (aliphatic),358,9423,2,217,0.9944444444441682,0.6226086956520656,0.7657754010694368,575
ester (aromatic),332,9426,6,236,0.9822485207097686,0.5845070422534182,0.7328918322294996,568
ester (aliphatic),3286,5634,513,567,0.8649644643326964,0.8528419413443848,0.8588604286460944,3853
carboxylic acid,191,9579,18,212,0.9138755980856872,0.4739454094291628,0.6241830065358457,403
amide,1362,8414,110,114,0.9252717391303719,0.9227642276422139,0.924016282225206,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,174,9807,1,18,0.9942857142851462,0.906249999999528,0.9482288828335291,192
nitrile,286,9637,6,71,0.9794520547941852,0.8011204481790474,0.8813559322032539,357
epoxide,21,9805,0,174,0.9999999999952381,0.10769230769225248,0.19444444444435444,195
imide,288,9571,24,117,0.9230769230766273,0.7111111111109355,0.8033472803346159,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,67,9797,2,134,0.9710144927522159,0.3333333333331675,0.4962962962961125,201
nitro (aromatic),182,9787,0,31,0.9999999999994507,0.8544600938963125,0.9215189873415389,213
sulfide,346,9580,5,69,0.985754985754705,0.8337349397588353,0.9033942558745557,415
sulfone,397,9568,4,31,0.9900249376556135,0.9275700934577272,0.9577804583834791,428
sulfonate,162,9808,3,27,0.9818181818175868,0.8571428571424037,0.915254237287877,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,478,9345,101,76,0.8255613126078021,0.8628158844763785,0.8437775816415848,554
bromobenzene,183,9805,1,11,0.9945652173907639,0.9432989690716788,0.9682539682537121,194
siloxane,227,9597,3,173,0.9869565217387014,0.5674999999998581,0.7206349206348062,400
phosphazene,142,9814,4,40,0.9726027397253613,0.7802197802193516,0.8658536585363215,182
phenoxy,142,9814,4,40,0.9726027397253613,0.7802197802193516,0.8658536585363215,182
pyridine,314,9600,42,44,0.8820224719098646,0.8770949720667941,0.8795518207281681,358
alkane,9778,138,55,29,0.99440659005389,0.9970429285204344,0.9957230142566141,9807
