class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,413,9079,34,474,0.9239373601787643,0.46561443066511093,0.6191904047975547,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,4017,2514,3435,34,0.5390499194846948,0.9916070106146385,0.6984264974354455,4051
naphthalene,29,9823,0,148,0.9999999999965518,0.16384180790951197,0.28155339805811574,177
amine,1274,8261,392,73,0.7647058823528953,0.9458054936896105,0.8456687686690725,1347
alcohol (aromatic),102,9808,1,89,0.9902912621349609,0.5340314136122859,0.6938775510201722,191
alcohol (aliphatic),317,9140,78,465,0.8025316455694171,0.40537084398971795,0.538657604078119,782
ether (aromatic),1229,7532,1146,93,0.5174736842105045,0.9296520423599902,0.6648634027589758,1322
ether (aliphatic),2539,6302,882,277,0.7421806489330388,0.9016335227272407,0.8141734808401344,2816
alkyl halide (F),842,9104,0,54,0.9999999999998812,0.9397321428570379,0.9689298043727865,896
alkyl halide (Cl),660,9256,1,83,0.9984871406957642,0.8882907133242411,0.9401709401708732,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),141,9786,28,45,0.8343195266267253,0.7580645161286248,0.7943661971828748,186
ketone (aliphatic),352,9414,11,223,0.9696969696967026,0.6121739130433718,0.7505330490404317,575
ester (aromatic),408,9371,61,160,0.8699360341149531,0.718309859154803,0.7868852459015634,568
ester (aliphatic),3128,5847,300,725,0.9124854142356793,0.8118349338177833,0.8592226342535247,3853
carboxylic acid,133,9597,0,270,0.9999999999992483,0.33002481389569976,0.4962686567163253,403
amide,1380,8418,106,96,0.928667563929951,0.9349593495934325,0.931802835921643,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,153,9808,0,39,0.9999999999993465,0.796874999999585,0.8869565217388734,192
nitrile,227,9642,1,130,0.9956140350872826,0.6358543417365166,0.7760683760682433,357
epoxide,27,9805,0,168,0.9999999999962964,0.13846153846146747,0.24324324324313368,195
imide,326,9552,43,79,0.8834688346881074,0.8049382716047395,0.8423772609818032,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,37,9799,0,164,0.9999999999972973,0.18407960198995818,0.31092436974776855,201
nitro (aromatic),171,9787,0,42,0.9999999999994152,0.8028169014080738,0.8906249999997681,213
sulfide,351,9584,1,64,0.9971590909088076,0.8457831325299167,0.9152542372880162,415
sulfone,407,9560,12,21,0.9713603818613433,0.9509345794390301,0.9610389610388476,428
sulfonate,140,9811,0,49,0.9999999999992858,0.7407407407403489,0.8510638297869754,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,532,9438,8,22,0.9851851851850026,0.9602888086640865,0.9725776965264192,554
bromobenzene,172,9806,0,22,0.9999999999994187,0.886597938143873,0.9398907103822569,194
siloxane,178,9598,2,222,0.9888888888883396,0.44499999999988876,0.61379310344817,400
phosphazene,123,9818,0,59,0.999999999999187,0.6758241758238045,0.806557377048916,182
phenoxy,126,9818,0,56,0.9999999999992063,0.6923076923073119,0.8181818181815526,182
pyridine,258,9642,0,100,0.9999999999996124,0.7206703910612512,0.8376623376622017,358
alkane,9791,139,54,16,0.9945149822244693,0.9983685122871316,0.9964380215754072,9807
