class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,591,9024,89,296,0.8691176470586957,0.6662908680946261,0.7543075941288606,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,3697,5875,74,354,0.9803765579421644,0.9126141693408809,0.945282536435682,4051
naphthalene,126,9822,1,51,0.9921259842511873,0.7118644067792589,0.82894736842078,177
amine,1222,8628,25,125,0.9799518845227763,0.9072011878247285,0.9421742482651911,1347
alcohol (aromatic),139,9807,2,52,0.9858156028361803,0.7277486910990955,0.8373493975901093,191
alcohol (aliphatic),435,9153,65,347,0.869999999999826,0.5562659846546603,0.6786271450857505,782
ether (aromatic),1138,8639,39,184,0.9668649107900622,0.8608169440241406,0.9107643057222524,1322
ether (aliphatic),2356,7024,160,460,0.9364069952304874,0.8366477272726975,0.8837209302325416,2816
alkyl halide (F),884,9104,0,12,0.9999999999998869,0.9866071428570327,0.9932584269662363,896
alkyl halide (Cl),699,9257,0,44,0.9999999999998569,0.9407806191115826,0.9694868238556886,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),134,9812,2,52,0.9852941176463345,0.7204301075264944,0.8322981366457043,186
ketone (aliphatic),436,9424,1,139,0.997711670480321,0.7582608695650854,0.8616600790512983,575
ester (aromatic),400,9428,4,168,0.9900990099007451,0.704225352112552,0.8230452674896273,568
ester (aliphatic),3488,5745,402,365,0.8966580976863523,0.905268621853078,0.9009427870334379,3853
carboxylic acid,244,9586,11,159,0.956862745097664,0.60545905707181,0.7416413373859054,403
amide,1395,8472,52,81,0.9640635798202513,0.9451219512194481,0.9544988026000357,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,183,9808,0,9,0.9999999999994537,0.9531249999995036,0.9759999999997397,192
nitrile,313,9641,2,44,0.9936507936504783,0.8767507002798665,0.9315476190474804,357
epoxide,70,9800,5,125,0.9333333333320889,0.3589743589741749,0.5185185185183265,195
imide,344,9584,11,61,0.9690140845067693,0.849382716049173,0.9052631578946176,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,111,9796,3,90,0.9736842105254616,0.5522388059698745,0.7047619047616811,201
nitro (aromatic),205,9786,1,8,0.9951456310674781,0.9624413145535388,0.9785202863959479,213
sulfide,388,9585,0,27,0.9999999999997423,0.9349397590359193,0.9663760896636405,415
sulfone,417,9572,0,11,0.9999999999997602,0.9742990654203332,0.9869822485205932,428
sulfonate,181,9811,0,8,0.9999999999994476,0.9576719576714511,0.978378378378114,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,545,9446,0,9,0.9999999999998165,0.9837545126352014,0.9918107370335767,554
bromobenzene,188,9806,0,6,0.9999999999994682,0.9690721649479541,0.9842931937170198,194
siloxane,257,9597,3,143,0.9884615384611584,0.6424999999998394,0.7787878787877608,400
phosphazene,164,9812,6,18,0.9647058823523738,0.9010989010984061,0.9318181818179171,182
phenoxy,164,9812,6,18,0.9647058823523738,0.9010989010984061,0.9318181818179171,182
pyridine,326,9631,11,32,0.9673590504448168,0.9106145251394104,0.9381294964027427,358
alkane,9762,185,8,45,0.9991811668372467,0.9954114408075763,0.9972927414823467,9807
