class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,758,8767,346,129,0.6865942028984885,0.8545659526492836,0.7614264188849441,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,3707,5933,16,344,0.9957023905452325,0.9150826956306859,0.9536917931566639,4051
naphthalene,142,9818,5,35,0.9659863945571661,0.8022598870051966,0.8765432098762727,177
amine,1250,8649,4,97,0.9968102073364437,0.9279881217519726,0.9611687812379485,1347
alcohol (aromatic),152,9808,1,39,0.9934640522869325,0.7958115183241907,0.8837209302323012,191
alcohol (aliphatic),351,9215,3,431,0.9915254237285335,0.4488491048592776,0.6179577464788188,782
ether (aromatic),1131,8674,4,191,0.9964757709250223,0.8555219364598445,0.9206349206348832,1322
ether (aliphatic),2600,6960,224,216,0.9206798866855198,0.9232954545454217,0.9219858156028206,2816
alkyl halide (F),892,9104,0,4,0.9999999999998879,0.9955357142856032,0.9977628635346197,896
alkyl halide (Cl),726,9255,2,17,0.9972527472526103,0.9771197846566652,0.9870836165872884,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),139,9814,0,47,0.9999999999992807,0.7473118279565876,0.8553846153843522,186
ketone (aliphatic),449,9421,4,126,0.991169977924726,0.7808695652172555,0.8735408560310434,575
ester (aromatic),460,9431,1,108,0.9978308026028204,0.8098591549294348,0.8940719144799908,568
ester (aliphatic),3474,6016,131,379,0.9636615811372825,0.9016350895405942,0.9316170555108483,3853
carboxylic acid,298,9588,9,105,0.9706840390876318,0.7394540942926205,0.8394366197181916,403
amide,1411,8512,12,65,0.9915671117356998,0.9559620596205314,0.9734391169368412,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,187,9808,0,5,0.9999999999994653,0.9739583333328261,0.9868073878625365,192
nitrile,311,9643,0,46,0.9999999999996785,0.8711484593835095,0.9311377245507587,357
epoxide,91,9805,0,104,0.9999999999989011,0.46666666666642737,0.6363636363634139,195
imide,346,9589,6,59,0.9829545454542662,0.85432098765411,0.9141347424041064,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,115,9796,3,86,0.9745762711856147,0.5721393034823025,0.7210031347960123,201
nitro (aromatic),201,9787,0,12,0.9999999999995025,0.9436619718305429,0.9710144927533887,213
sulfide,399,9585,0,16,0.9999999999997494,0.9614457831322984,0.9803439803438598,415
sulfone,423,9572,0,5,0.9999999999997636,0.988317757009115,0.9941245593418337,428
sulfonate,181,9811,0,8,0.9999999999994476,0.9576719576714511,0.978378378378114,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,538,9446,0,16,0.999999999999814,0.9711191335738318,0.985347985347895,554
bromobenzene,190,9806,0,4,0.9999999999994738,0.9793814432984643,0.9895833333330757,194
siloxane,261,9600,0,139,0.9999999999996169,0.6524999999998369,0.7897125567321044,400
phosphazene,172,9818,0,10,0.9999999999994187,0.9450549450544259,0.971751412429104,182
phenoxy,172,9818,0,10,0.9999999999994187,0.9450549450544259,0.971751412429104,182
pyridine,331,9642,0,27,0.9999999999996979,0.9245810055863339,0.9608127721333873,358
alkane,9793,183,10,14,0.9989799041109763,0.9985724482512389,0.9987761346251862,9807
