class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,448,9022,91,439,0.8311688311686769,0.5050732807214763,0.6283309957923823,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,3664,5676,273,387,0.9306578613156989,0.9044680325845247,0.9173760640961327,4051
naphthalene,62,9823,0,115,0.9999999999983871,0.35028248587550836,0.5188284518826282,177
amine,1185,8593,60,162,0.9518072289155861,0.87973273942087,0.9143518518518166,1347
alcohol (aromatic),120,9804,5,71,0.959999999999232,0.6282722513085717,0.7594936708858356,191
alcohol (aliphatic),299,9178,40,483,0.8820058997047546,0.38235294117642166,0.5334522747546357,782
ether (aromatic),1030,8599,79,292,0.928764652840313,0.7791225416035719,0.8473879062114007,1322
ether (aliphatic),2261,6908,276,555,0.8912100906582227,0.8029119318181533,0.8447599476928667,2816
alkyl halide (F),881,9104,0,15,0.9999999999998864,0.9832589285713188,0.991558806977997,896
alkyl halide (Cl),685,9256,1,58,0.9985422740523325,0.9219380888289472,0.9587123862840476,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),110,9813,1,76,0.9909909909900982,0.5913978494620477,0.7407407407404913,186
ketone (aliphatic),372,9425,0,203,0.9999999999997312,0.6469565217390179,0.7856388595564112,575
ester (aromatic),352,9424,8,216,0.9777777777775062,0.6197183098590457,0.7586206896550907,568
ester (aliphatic),3422,5606,541,431,0.8634872571284162,0.8881391123799406,0.8756397134083819,3853
carboxylic acid,183,9597,0,220,0.9999999999994537,0.45409429280385755,0.6245733788394838,403
amide,1370,8432,92,106,0.9370725034199086,0.9281842818427555,0.9326072157930247,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,180,9808,0,12,0.9999999999994446,0.9374999999995118,0.9677419354836109,192
nitrile,290,9640,3,67,0.9897610921498329,0.8123249299717613,0.892307692307555,357
epoxide,38,9804,1,157,0.974358974356476,0.19487179487169495,0.324786324786186,195
imide,306,9580,15,99,0.9532710280370863,0.755555555555369,0.8429752066114541,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,71,9798,1,130,0.9861111111097415,0.35323383084559545,0.5201465201463297,201
nitro (aromatic),187,9786,1,26,0.9946808510633007,0.8779342723000574,0.9326683291768249,213
sulfide,350,9584,1,65,0.9971509971507131,0.8433734939757004,0.9138381201043193,415
sulfone,390,9567,5,38,0.9873417721516488,0.9112149532708151,0.9477521263668349,428
sulfonate,171,9807,4,18,0.9771428571422989,0.9047619047614262,0.9395604395601814,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,504,9425,21,50,0.9599999999998171,0.9097472924186083,0.9341983317886066,554
bromobenzene,187,9806,0,7,0.9999999999994653,0.9639175257726991,0.9816272965876689,194
siloxane,218,9598,2,182,0.9909090909086405,0.5449999999998638,0.7032258064514995,400
phosphazene,153,9814,4,29,0.97452229299301,0.8406593406588788,0.9026548672563709,182
phenoxy,153,9814,4,29,0.97452229299301,0.8406593406588788,0.9026548672563709,182
pyridine,313,9608,34,45,0.9020172910660225,0.8743016759774095,0.8879432624112216,358
alkane,9783,166,27,24,0.9972477064220082,0.9975527684307026,0.9974002141000103,9807
