epoch,train_loss,test_loss,train_acc,test_acc
0,0.10780700773596763,0.07935219396352768,37.330000000000005,46.57
1,0.08555562769174575,0.06870086348056793,40.855000000000004,49.74
2,0.08027120196223259,0.067182646214962,41.9425,50.239999999999995
3,0.07729239600300788,0.06235525860190391,43.230000000000004,51.92
4,0.07531471319794655,0.06473582839369774,44.415,51.59
5,0.07368145353794098,0.06180730024576187,44.585,52.78
6,0.07294066515564919,0.059902561920881274,45.087500000000006,53.43
7,0.07209115797877312,0.06602834599614144,45.47,50.17
8,0.0709377531528473,0.05908897962570191,45.7075,53.72
9,0.0701441990494728,0.060097523230314254,46.2075,53.59
10,0.06928407500386238,0.057473173880577086,46.300000000000004,54.620000000000005
11,0.06912466197013856,0.060294030833244326,46.53,53.93
12,0.06826164655685425,0.05710615704655647,46.7,55.1
13,0.0677033745586872,0.05959779019355774,47.36,54.26
14,0.0673404574394226,0.05669959346652031,47.2425,54.92
15,0.06695486550331116,0.055424997740983965,47.2725,55.92
16,0.06663941199183464,0.056172784143686295,47.394999999999996,55.87
17,0.06583105857372284,0.05720997704863548,48.03,55.410000000000004
18,0.06570023336410523,0.055629976451396945,48.075,55.53
19,0.06536573798060417,0.056421193343400955,48.322500000000005,55.97
20,0.0649317221581936,0.05954351615905762,48.4975,54.449999999999996
21,0.06448560718297959,0.0550374481856823,48.4925,56.03
22,0.06440838757157326,0.055816721999645234,48.66,56.05
23,0.06409223474264145,0.05684811419248581,48.5825,55.45
24,0.06370627106428146,0.05514589027166367,48.822500000000005,56.330000000000005
25,0.0633732907295227,0.057503385263681414,49.1675,55.510000000000005
26,0.06352481535673142,0.05398827181458473,48.9375,56.43
27,0.0630610515832901,0.06583506015539169,49.317499999999995,45.01
28,0.06300322716236115,0.05287554991841316,49.3275,57.29
29,0.06296917446255684,0.055700211226940154,49.29,57.19
30,0.06264732193350792,0.0529614684343338,49.4525,57.3
31,0.062441960400342944,0.06942363232374191,49.49,40.68
32,0.06229828851819039,0.054197417211532595,49.2475,57.05
33,0.06218996378183365,0.054471602082252504,49.772499999999994,56.65
34,0.06176711304187775,0.054669717919826506,49.86,56.92
