class,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,support
alkene,783,9066,47,104,0.94337349397579,0.8827508455466874,0.9120559114734471,887
alkyne,0,10000,0,0,0.0,0.0,0.0,0
benzene ring,3891,5943,6,160,0.9984603541185271,0.9605035793630965,0.9791142425767365,4051
naphthalene,164,9823,0,13,0.9999999999993903,0.9265536723158607,0.9618768328442927,177
amine,1305,8651,2,42,0.9984697781177506,0.9688195991090595,0.9834212509419373,1347
alcohol (aromatic),182,9808,1,9,0.9945355191251397,0.9528795811513336,0.9732620320853013,191
alcohol (aliphatic),658,9182,36,124,0.9481268011526011,0.841432225063831,0.8915989159890995,782
ether (aromatic),1258,8671,7,64,0.9944664031619767,0.951588502269217,0.9725550831078094,1322
ether (aliphatic),2656,7153,31,160,0.98846296985482,0.9431818181817847,0.9652916590950216,2816
alkyl halide (F),887,9104,0,9,0.9999999999998872,0.9899553571427466,0.9949523275378017,896
alkyl halide (Cl),726,9256,1,17,0.9986244841814307,0.9771197846566652,0.9877551020407491,743
alkyl halide (Br),0,10000,0,0,0.0,0.0,0.0,0
alkyl halide (I),0,10000,0,0,0.0,0.0,0.0,0
thiol,0,10000,0,0,0.0,0.0,0.0,0
aldehyde,0,10000,0,0,0.0,0.0,0.0,0
ketone (aromatic),167,9814,0,19,0.9999999999994013,0.8978494623651088,0.9461756373934997,186
ketone (aliphatic),531,9423,2,44,0.9962476547840532,0.9234782608694045,0.9584837545125489,575
ester (aromatic),511,9432,0,57,0.9999999999998044,0.8996478873237852,0.947173308619004,568
ester (aliphatic),3656,6031,116,197,0.9692470837751599,0.9488710096028822,0.9589508196721186,3853
carboxylic acid,370,9591,6,33,0.9840425531912277,0.9181141439203677,0.9499358151475031,403
amide,1427,8518,6,49,0.995812979762666,0.9668021680216147,0.98109315916119,1476
nitrite,0,10000,0,0,0.0,0.0,0.0,0
nitrate,190,9808,0,2,0.9999999999994738,0.989583333332818,0.9947643979054988,192
nitrile,347,9642,1,10,0.9971264367813227,0.971988795517935,0.9843971631204277,357
epoxide,155,9802,3,40,0.9810126582272273,0.7948717948713873,0.8781869688382782,195
imide,388,9594,1,17,0.99742930591234,0.9580246913577881,0.97732997481096,405
acid chloride,0,10000,0,0,0.0,0.0,0.0,0
anhydride,176,9798,1,25,0.994350282485314,0.8756218905468282,0.9312169312166849,201
nitro (aromatic),209,9787,0,4,0.9999999999995216,0.9812206572765347,0.9905213270139833,213
sulfide,409,9585,0,6,0.9999999999997555,0.9855421686744613,0.9927184466018212,415
sulfone,426,9572,0,2,0.9999999999997653,0.9953271028035058,0.9976580796251758,428
sulfonate,185,9811,0,4,0.9999999999994595,0.978835978835461,0.9893048128339601,189
azide,0,10000,0,0,0.0,0.0,0.0,0
chlorobenzene,547,9446,0,7,0.9999999999998171,0.9873646209384499,0.9936421435058135,554
bromobenzene,190,9806,0,4,0.9999999999994738,0.9793814432984643,0.9895833333330757,194
siloxane,358,9599,1,42,0.997214484679388,0.8949999999997763,0.9433465085637756,400
phosphazene,174,9818,0,8,0.9999999999994253,0.9560439560434308,0.977528089887366,182
phenoxy,174,9818,0,8,0.9999999999994253,0.9560439560434308,0.977528089887366,182
pyridine,344,9641,1,14,0.9971014492750734,0.960893854748335,0.9786628733995762,358
alkane,9789,193,0,18,0.9999999999999898,0.9981645763230244,0.9990814451928915,9807
