training_samples,min_test_loss,max_test_accuracy
80000,0.029100701123476028,72.745
64000,0.030861542123556136,71.6
48000,0.032990767496824266,69.78999999999999
32000,0.03853832219839096,64.58
16000,0.05035313887000084,56.25
8000,0.0670636883378029,45.285
